,year,seasonId,gameId,gamesPlayed,goalsFor,goalsAgainst,wins,ties,shootoutGamesWon,homeScore,roadScore,avgHomeGPG,avgAwayGPG,avgHomeAwayDiff
0,1917,1917-1918,65178680595,34,240.0,102.0,34,0,0,198,144,5.823529411764706,4.235294117647059,1.5882352941176467
1,1918,1918-1919,51786540378,27,157.0,66.0,27,0,0,145,78,5.37037037037037,2.888888888888889,2.4814814814814814
2,1919,1919-1920,92112961176,48,321.0,139.0,48,0,0,267,193,5.5625,4.020833333333333,1.541666666666667
3,1920,1920-1921,92160961176,48,274.0,132.0,48,0,0,228,178,4.75,3.7083333333333335,1.0416666666666665
4,1921,1921-1922,92208961176,48,247.0,133.0,46,2,0,225,155,4.6875,3.2291666666666665,1.4583333333333335
5,1922,1922-1923,92256961176,48,216.0,97.0,46,2,0,190,123,3.9583333333333335,2.5625,1.3958333333333335
6,1923,1923-1924,92304961176,48,181.0,74.0,48,0,0,156,99,3.25,2.0625,1.1875
7,1924,1924-1925,173161804095,90,333.0,117.0,87,3,0,245,205,2.7222222222222223,2.2777777777777777,0.44444444444444464
8,1925,1925-1926,242552528001,126,411.0,170.0,115,11,0,321,260,2.5476190476190474,2.0634920634920637,0.48412698412698374
9,1926,1926-1927,423724424310,220,650.0,229.0,202,18,0,482,397,2.190909090909091,1.8045454545454545,0.38636363636363646
10,1927,1927-1928,423944424310,220,617.0,219.0,183,37,0,448,388,2.036363636363636,1.7636363636363637,0.2727272727272725
11,1928,1928-1929,424164424310,220,487.0,155.0,173,47,0,365,277,1.6590909090909092,1.259090909090909,0.40000000000000013
12,1929,1929-1930,424384424310,220,882.0,419.0,191,29,0,739,562,3.359090909090909,2.5545454545454547,0.8045454545454542
13,1930,1930-1931,424604424310,220,734.0,320.0,187,33,0,604,450,2.7454545454545456,2.0454545454545454,0.7000000000000002
14,1931,1931-1932,370755858528,192,668.0,289.0,157,35,0,570,387,2.96875,2.015625,0.953125
15,1932,1932-1933,417316343436,216,704.0,279.0,179,37,0,573,410,2.6527777777777777,1.8981481481481481,0.7546296296296295
16,1933,1933-1934,417532343436,216,722.0,319.0,178,38,0,582,459,2.6944444444444446,2.125,0.5694444444444446
17,1934,1934-1935,417748343436,216,761.0,326.0,189,27,0,575,512,2.662037037037037,2.3703703703703702,0.29166666666666696
18,1935,1935-1936,371523858528,192,575.0,256.0,158,34,0,464,367,2.4166666666666665,1.9114583333333333,0.5052083333333333
19,1936,1936-1937,371715858528,192,658.0,288.0,164,28,0,496,450,2.5833333333333335,2.34375,0.23958333333333348
20,1937,1937-1938,371907858528,192,673.0,299.0,156,36,0,523,449,2.7239583333333335,2.3385416666666665,0.38541666666666696
21,1938,1938-1939,325587374196,168,605.0,246.0,143,25,0,476,375,2.8333333333333335,2.232142857142857,0.6011904761904763
22,1939,1939-1940,325755374196,168,606.0,232.0,147,21,0,499,339,2.9702380952380953,2.017857142857143,0.9523809523809526
